Country,Time,HICP (SA)
JP,2012-08,94.29829010008443
JP,2012-09,94.2840657049351
JP,2012-10,94.22656965747275
JP,2012-11,94.23017317021731
JP,2012-12,94.25809353685045
JP,2013-01,94.39541540673301
JP,2013-02,94.41686300837524
JP,2013-03,94.52011804075374
JP,2013-04,93.96360251919425
JP,2013-05,94.13154388963056
JP,2013-06,94.64144835508597
JP,2013-07,94.9372895702019
JP,2013-08,95.06440625551703
JP,2013-09,95.22805989777594
JP,2013-10,95.29043737806911
JP,2013-11,95.53942354909923
JP,2013-12,95.70434101765912
JP,2014-01,95.74771778542728
JP,2014-02,95.97529864703714
JP,2014-03,96.07376801863438
JP,2014-04,97.28561991928152
JP,2014-05,97.63741924732707
JP,2014-06,98.0140089043989
JP,2014-07,98.21408783875974
JP,2014-08,98.28369853536292
JP,2014-09,98.33884550579644
JP,2014-10,97.94248747582724
JP,2014-11,97.84179375923341
JP,2014-12,97.94135262971409
JP,2015-01,98.09051267555068
JP,2015-02,98.03103488236847
JP,2015-03,98.22183026380037
JP,2015-04,98.19712779041284
JP,2015-05,98.23045379728823
JP,2015-06,98.38930770166523
JP,2015-07,98.42015559193344
JP,2015-08,98.43274312400999
JP,2015-09,98.38467829443542
JP,2015-10,98.18946067549669
JP,2015-11,97.95753241043056
JP,2015-12,98.05873229468814
JP,2016-01,97.95548288183812
JP,2016-02,98.15092706110333
JP,2016-03,98.15279880478825
JP,2016-04,98.01904361194806
JP,2016-05,97.96023268172297
JP,2016-06,98.06385179554641
JP,2016-07,98.04521869558849
JP,2016-08,97.96332242797013
JP,2016-09,97.90607533601043
JP,2016-10,98.2797034622844
JP,2016-11,98.4076873854448
JP,2016-12,98.28017610709061
JP,2017-01,98.38710750629156
JP,2017-02,98.35017908792119
JP,2017-03,98.27855221524983
JP,2017-04,98.49356657120704
JP,2017-05,98.49920722649391
JP,2017-06,98.57371788873523
JP,2017-07,98.53836094782797
JP,2017-08,98.57659397328682
JP,2017-09,98.7266316929036
JP,2017-10,98.46589279330037
JP,2017-11,98.84234635146655
JP,2017-12,99.23737570576888
JP,2018-01,99.58423091180815
JP,2018-02,99.66553451704677
JP,2018-03,99.3396117226004
JP,2018-04,99.11750817934146
JP,2018-05,99.28315203904695
JP,2018-06,99.36239383811422
JP,2018-07,99.46834706998695
